,count,lat,lon
333,276,37.5530921,-85.2821512
334,273,35.3007005,-90.7292867
335,272,30.1871574,-92.0778215
336,270,43.9580369,-86.3989076
337,267,36.7302902,-91.8377961
338,259,36.7309127,-108.2267115
339,256,41.0805168,-87.859195
340,250,34.2580883,-91.9340964
341,249,34.2729342,-85.2318907
342,248,40.9809351,-90.3600061
343,244,28.5305715,-82.5057001
344,242,28.8761687,-96.9943964
345,240,33.6000967,-85.832094
346,238,30.268347,-93.1783013
347,232,40.4555333,-78.4064198
348,230,43.6218148,-70.3458522
349,230,43.2266019,-71.4781003
350,230,38.5799836,-92.2191986
351,228,35.2465761,-96.6878
352,226,30.7158101,-94.9533212
353,224,31.8939305,-102.3317042
354,218,31.6921771,-83.2483864
355,214,40.7280065,-84.0589145
356,210,40.0514317,-79.0706849
357,202,42.4919182,-71.7307855
358,198,29.6231103,-82.3853
359,197,36.3555888,-92.3407905
360,194,35.709064,-81.7833638
361,194,33.7261827,-93.6356778
362,190,46.8100002,-100.7800098
363,190,38.3611609,-122.6923955
364,184,44.9186325,-89.6529865
365,178,41.5313372,-73.8970198
366,178,38.7869954,-97.6097059
367,178,36.7131865,-78.1062806
368,176,35.4071995,-99.3882435
369,172,38.0386484,-97.9201126
370,170,43.5400021,-96.7297463
371,170,37.6346004,-91.5448451
372,168,34.1346073,-97.1357381
373,166,38.4258306,-96.2203109
374,166,36.7315757,-95.8946371
375,164,39.9375463,-91.3323067
376,156,43.1982751,-77.927671
377,154,43.1309973,-76.2040002
378,154,39.1454244,-121.6534674
379,154,33.3381368,-83.398208
380,152,37.4845587,-86.2636248
381,152,34.2019778,-110.0156694
382,150,35.5522619,-89.2448857
383,146,39.4814886,-88.3356418
384,144,34.9187779,-95.7430065
385,142,33.6358798,-91.8041192
386,140,33.1176302,-95.5895191
387,139,31.4038289,-83.5206091
388,138,43.8548684,-111.7739
389,138,37.9809598,-92.6913881
390,136,40.6027758,-79.1943133
391,136,39.7983532,-84.8884061
392,135,34.6205989,-79.6540779
393,132,44.0395573,-91.606659
394,132,40.8476871,-81.9404217
395,130,36.2684441,-93.1391
396,130,35.6989145,-85.7894791
397,128,42.5899912,-114.4829072
398,127,30.7266891,-85.1884389
399,126,41.3635468,-83.0893207
400,124,41.6633105,-72.7189994
401,122,42.3812907,-76.8636193
402,122,38.0691159,-83.9592185
403,122,37.5475524,-100.4400098
404,121,42.0974851,-79.2998636
405,120,44.0296898,-116.9575103
406,120,41.9788349,-78.6097205
407,120,41.4132161,-73.4271111
408,118,40.5818555,-77.6119867
409,118,31.5553844,-91.3718319
410,115,32.6286006,-93.2511
411,114,38.1934547,-91.193701
412,111,31.2444713,-89.8122374
413,110,40.200187,-87.6277363
414,110,31.8640852,-82.5876617
415,109,40.9263575,-78.9807665
416,108,36.2410488,-91.5979124
417,108,33.1164193,-94.1832697
418,107,36.3779187,-93.5855292
419,106,33.1788152,-92.7219675
420,106,32.7675166,-89.1266307
421,104,42.5637615,-72.2857819
422,102,44.5496009,-122.9188328
423,101,33.2768316,-93.214655
424,100,37.1495283,-121.6555488
425,98,33.5673826,-92.8351761
426,94,34.2873752,-87.8186345
427,93,35.5655467,-92.4544065
428,91,35.6981465,-90.0126725
429,91,33.8979955,-94.8046441
430,88,41.1458465,-102.9489021
431,88,37.3106766,-91.9645029
432,88,34.0455472,-94.3189573
433,85,30.7941949,-89.8665333
434,84,31.6816258,-92.1389942
435,71,36.2480113,-90.9633041
436,71,34.2493998,-83.4572218
437,69,39.4010925,-79.0105176
438,69,32.5891078,-82.331382
439,67,41.3491273,-79.7165394
440,67,36.377492,-108.146292
441,67,32.2010028,-82.3632574
442,64,38.8291919,-81.7202353
443,62,38.7860923,-83.5626203
444,60,36.1493252,-81.1942656
445,60,31.2643588,-90.4733048
446,59,45.635469,-89.3833816
447,59,42.9100612,-112.4628151
448,59,33.9705169,-86.4474443
449,59,32.9106724,-84.3326104
450,59,30.8459793,-89.1441404
451,58,47.1080123,-88.5872373
452,58,41.3925295,-78.5625596
453,58,37.4651601,-93.8338525
454,58,31.7093809,-89.1486933
455,56,40.9444949,-87.135407
456,56,36.8061924,-97.3190478
457,56,31.9669425,-83.7617612
458,55,43.3123326,-90.350672
459,54,29.470429,-90.3254983
460,53,39.0111852,-82.0356846
461,53,34.6572026,-84.4876634
462,52,37.859893,-82.045197
463,50,44.5639479,-92.5828278
464,48,38.892906,-79.8444053
465,48,30.9018187,-88.5978529
466,47,33.1380701,-91.9425487
467,47,32.9639931,-87.1723831
468,46,34.3069976,-89.9156758
469,46,33.6082122,-86.2777192
470,46,33.1634438,-85.3666449
471,45,34.2909479,-92.3972404
472,43,32.7739012,-92.3943999
473,42,30.5569696,-84.5950592
474,41,39.0844384,-78.9580739
475,41,36.675792,-93.8882002
476,37,35.2539519,-95.1103144
477,37,31.8483782,-86.6470563
478,34,35.0966084,-81.5774882
479,18,36.5700996,-89.9706446
480,2,44.9822545,-73.4530556
